Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Bahrain Grand Prix\bahrain_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media          IC_95%_R2
  15%    26         28-33        34-35         306         75  0.2893  0.2172    0.9495
  15%    42         44-49        50-51         302        104  0.2893  0.2128    0.9309
  60%     8         10-35        36-42        1446        387  0.2900  0.2261    0.9476
  30%    15         17-28        29-32         789        211  0.2901  0.2258    0.9582
   5%    52         54-55        56-56         130         68  0.2903  0.2345    0.9462
  25%    28         30-40        41-43         540        172  0.2903  0.2214    0.9511
  25%    16         18-28        29-31         740        174  0.2905  0.2276    0.9571
  15%    20         22-27        28-29         424        118  0.2913  0.2257    0.9498
  60%    22         24-49        50-56        1408        431  0.2913  0.2282    0.9379
  25%    19         21-31        32-34         726        110  0.2914  0.2323    0.9567
  20%    31         33-40        41-43         389        172  0.2917  0.2281    0.9506
  20%    10         12-19        20-22         388        213  0.2917  0.2279    0.9232
   5%    21         23-24        25-25         151         71  0.2920  0.2249    0.9394
  15%    24         26-31        32-33         361         74  0.2921  0.2272    0.9575
  60%     1          3-28        29-35        1614        323  0.2922  0.2260    0.9570
  40%    30         32-48        49-53         849        284  0.2923  0.2254    0.9319
  20%    21         23-30        31-33         527        130  0.2927  0.2315    0.9580
  40%    10         12-28        29-33        1010        248  0.2928  0.2280    0.9574
  10%    26         28-31        32-33         232         74  0.2933  0.2345    0.9572
  20%    18         20-27        28-30         564        176  0.2938  0.2332    0.9522
   5%    23         25-26        27-27         135         65  0.2938  0.2471    0.9474
  20%    19         21-28        29-31         552        174  0.2941  0.2303    0.9560
  35%    12         14-28        29-32         914        211  0.2942  0.2284    0.9570
  25%    18         20-30        31-33         740        130  0.2943  0.2357    0.9575
  30%    16         18-29        30-33         800        188  0.2944  0.2339    0.9571
  12%    36         38-42        43-44         298        120  0.2946  0.2145    0.9465
  12%    24         26-30        31-32         305         93  0.2949  0.2297    0.9582
  25%     5          7-17        18-20         592        188  0.2953  0.2330    0.9068
  35%    11         13-27        28-31         902        232  0.2955  0.2296    0.9529
  60%     2          4-29        30-36        1602        305  0.2957  0.2294    0.9552
  25%    21         23-33        34-36         657        117  0.2958  0.2219    0.9481
  15%    45         47-52        53-54         316        127  0.2962  0.2244    0.9292
  15%    12         14-19        20-21         292        140  0.2965  0.2385    0.9159
  12%    43         45-49        50-51         244        104  0.2969  0.2179    0.9272
  60%     3          5-30        31-37        1586        294  0.2976  0.2294    0.9541
  40%    31         33-49        50-54         863        296  0.2977  0.2295    0.9306
  12%    27         29-33        34-35         248         75  0.2985  0.2246    0.9462
  40%    12         14-30        31-35        1032        205  0.2988  0.2304    0.9541
  35%    21         23-37        38-41         821        241  0.2989  0.2357    0.9434
  15%    23         25-30        31-32         376         93  0.2989  0.2285    0.9571
  20%    42         44-51        52-54         406        192  0.2994  0.2316    0.9308
  15%    37         39-44        45-46         357         97  0.2997  0.2309    0.9345
  35%    36         38-52        53-56         831        262  0.2998  0.2278    0.9346
  40%    14         16-32        33-37        1046        201  0.3000  0.2278    0.9477
  60%     7          9-34        35-41        1474        369  0.3002  0.2328    0.9438
  10%     6          8-11        12-13         251         96  0.3002  0.2245    0.9629
  25%    20         22-32        33-35         693        112  0.3003  0.2313    0.9473
  15%    21         23-28        29-30         409        118  0.3004  0.2315    0.9538
  40%    11         13-29        30-34        1020        224  0.3005  0.2362    0.9551
  30%    17         19-30        31-34         803        166  0.3006  0.2388    0.9553
  20%    23         25-32        33-35         469        112  0.3011  0.2301    0.9470
  10%    25         27-30        31-32         241         93  0.3021  0.2361    0.9561
  35%    17         19-33        34-37         933        164  0.3025  0.2311    0.9456
  35%    32         34-48        49-52         775        220  0.3025  0.2304    0.9272
  35%    13         15-29        30-33         935        188  0.3028  0.2382    0.9546
  60%     4          6-31        32-38        1575        299  0.3031  0.2327    0.9472
  35%     1          3-17        18-21         874        258  0.3035  0.2366    0.9066
  30%    20         22-33        34-37         730        164  0.3040  0.2301    0.9451
  12%    38         40-44        45-46         289         97  0.3043  0.2362    0.9325
  60%    23         25-50        51-57        1383        422  0.3044  0.2400    0.9350
  15%    44         46-51        52-53         299        129  0.3046  0.2347    0.9297
  30%    19         21-32        33-36         763        154  0.3049  0.2323    0.9460
  30%    14         16-27        28-31         777        232  0.3051  0.2358    0.9498
  10%    22         24-27        28-29         276        118  0.3053  0.2331    0.9449
   5%    18         20-21        22-22         140         73  0.3053  0.2392    0.9230
  60%     6          8-33        34-40        1509        352  0.3054  0.2369    0.9424
  20%    24         26-33        34-36         435        117  0.3055  0.2274    0.9446
  30%    24         26-37        38-41         599        241  0.3056  0.2424    0.9408
  10%    35         37-40        41-42         235        110  0.3058  0.2497    0.9436
  10%    39         41-44        45-46         230         97  0.3058  0.2404    0.9318
  12%    46         48-52        53-54         268        127  0.3062  0.2316    0.9243
   5%    37         39-40        41-41         127         53  0.3063  0.2329    0.9465
  10%    15         17-20        21-22         237        143  0.3068  0.2425    0.9192
  10%    23         25-28        29-30         258        118  0.3076  0.2374    0.9515
  60%     5          7-32        33-39        1543        330  0.3077  0.2390    0.9424
  35%    16         18-32        33-36         951        154  0.3080  0.2361    0.9449
  15%    38         40-45        46-47         338         96  0.3084  0.2387    0.9337
  30%    39         41-52        53-56         643        262  0.3087  0.2314    0.9306
  12%    35         37-41        42-43         288        119  0.3088  0.2351    0.9440
  40%    17         19-35        36-40        1008        277  0.3091  0.2381    0.9394
  35%    35         37-51        52-55         813        259  0.3094  0.2425    0.9276
  12%    45         47-51        52-53         251        129  0.3096  0.2363    0.9273
  40%    18         20-36        37-41         987        288  0.3097  0.2380    0.9389
  40%    16         18-34        35-39        1024        257  0.3102  0.2377    0.9381
  35%    14         16-30        31-34         953        166  0.3104  0.2446    0.9523
  10%     4           6-9        10-11         278        113  0.3111  0.2381    0.9536
