Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Italian Grand Prix\italian_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media        IC_95%_R2
   5%     3     49      0.5782 [0.4326, 0.7238]     0.4307  [0.335, 0.5264]    0.7214 [0.5211, 0.9217]
  20%    36         38-45        46-47         462        104 0.2927 0.2349  0.9769
  10%     1           3-6          7-7         257         72 0.2927 0.2329  0.9479
  30%     2          4-15        16-18         787        184 0.2928 0.2348  0.9656
  35%     1          3-16        17-20         902        234 0.2933 0.2293  0.9649
  25%    31         33-42        43-45         579        180 0.2939 0.2348  0.9747
  10%    17         19-22        23-23         228         65 0.2944 0.2398  0.9681
   5%    18         20-21        22-22         106         64 0.2946 0.2266  0.9668
  40%    28         30-45        46-49         949        190 0.2948 0.2265  0.9774
  10%     9         11-14        15-15         235         62 0.2948 0.2364  0.9662
  10%    42         44-47        48-48         226         45 0.2949 0.2285  0.9770
  25%     3          5-14        15-17         657        184 0.2949 0.2350  0.9653
  30%    31         33-44        45-47         696        167 0.2952 0.2370  0.9768
  20%     2          4-11        12-13         555        106 0.2955 0.2396  0.9584
  20%    31         33-40        41-42         464        115 0.2963 0.2246  0.9714
  30%    29         31-42        43-45         702        180 0.2966 0.2379  0.9742
  10%    34         36-39        40-40         236         54 0.2968 0.2318  0.9653
  25%     4          6-15        16-18         652        184 0.2977 0.2400  0.9644
  10%    45         47-50        51-51         175         39 0.2978 0.2417  0.9738
  30%    36         38-49        50-52         652        116 0.2981 0.2330  0.9740
  60%    17         19-42        43-49        1458        370 0.2982 0.2312  0.9758
  35%    30         32-45        46-49         820        190 0.2984 0.2335  0.9768
  25%    33         35-44        45-47         580        167 0.2985 0.2413  0.9762
  40%    25         27-42        43-46         970        240 0.2987 0.2371  0.9744
  15%     4          6-11        12-13         420        106 0.2989 0.2468  0.9574
