Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Saudi Arabian Grand Prix\saudi_arabian_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media         IC_95%_RMSE  MAE_Media           IC_95%_MAE      R2_Media                    IC_95%_R2
  40%     8         10-24        25-28         725        263    0.3768    0.2913  8.987000e-01
  15%     9         11-15        16-17         313         89    0.3769    0.2835  8.309000e-01
  10%     7          9-12        13-13         223         64    0.3786    0.3058  8.149000e-01
  12%    37         39-42        43-44         212        125    0.3794    0.2726  8.174000e-01
  15%    40         42-46        47-48         312        118    0.3799    0.2803  8.417000e-01
  12%    21         23-26        27-28         247        134    0.3820    0.3061  8.853000e-01
  35%    10         12-24        25-28         618        263    0.3825    0.2983  8.956000e-01
  20%     7          9-16        17-18         465         68    0.3832    0.2791  8.246000e-01
  10%    35         37-40        41-41         209         51    0.3835    0.2804  8.361000e-01
  10%    42         44-47        48-48         249         56    0.3844    0.2741  8.187000e-01
  12%    35         37-40        41-42         209        113    0.3851    0.2734  8.363000e-01
  15%    14         16-20        21-22         178         61    0.3886    0.2938  9.071000e-01
  12%    36         38-41        42-43         201        125    0.3908    0.2870  8.230000e-01
  15%    42         44-48        49-50         305        100    0.3909    0.3055  8.306000e-01
  12%    38         40-43        44-45         225        127    0.3930    0.2811  8.271000e-01
  15%    34         36-40        41-42         271        113    0.3933    0.2860  8.293000e-01
   5%    41         43-43        44-44          63         62    0.3944    0.2935  7.948000e-01
  10%    30         32-35        36-36         261         62    0.3950    0.3013  8.000000e-01
  12%    41         43-46        47-48         250        118    0.3954    0.2928  8.285000e-01
  15%    10         12-16        17-18         311         68    0.3956    0.2932  8.131000e-01
  30%    35         37-47        48-50         634        156    0.3961    0.3051  8.198000e-01
  30%    12         14-24        25-27         485        196    0.3961    0.3103  8.921000e-01
  12%     7          9-12        13-14         223        129    0.3968    0.3198  8.133000e-01
  12%    11         13-16        17-18         242         68    0.3976    0.2803  8.112000e-01
  10%     8         10-13        14-14         240         65    0.4007    0.3267  8.228000e-01
  12%     8         10-13        14-15         240        128    0.4013    0.3255  8.088000e-01
