Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\United States Grand Prix\united_states_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media              IC_95%_RMSE  MAE_Media               IC_95%_MAE      R2_Media                         IC_95%_R2
  12%    37         39-42        43-44         237        133      0.3753      0.3008  9.422000e-01
  35%    15         17-31        32-35         775        222      0.3754      0.3048  9.438000e-01
  30%    10         12-23        24-27         656        211      0.3754      0.2916  9.200000e-01
  25%     1          3-13        14-16         594        196      0.3758      0.2906  9.245000e-01
  15%    42         44-49        50-51         387        129      0.3760      0.2790  9.354000e-01
  20%    24         26-33        34-36         457        161      0.3777      0.3028  9.455000e-01
  30%    36         38-49        50-53         751        249      0.3777      0.2891  9.387000e-01
  12%    46         48-51        52-53         260        120      0.3784      0.3130  9.420000e-01
  12%     6          8-11        12-13         226        127      0.3791      0.2803  9.404000e-01
  25%    27         29-39        40-42         630        178      0.3794      0.2959  9.406000e-01
  35%     9         11-25        26-29         814        224      0.3799      0.2962  9.351000e-01
  10%    42         44-47        48-48         256         66      0.3802      0.3032  9.361000e-01
  15%     9         11-16        17-18         380        105      0.3805      0.3069  9.332000e-01
  12%    29         31-34        35-36         229        108      0.3809      0.2974  9.459000e-01
  12%    33         35-38        39-40         227        117      0.3811      0.2897  9.398000e-01
  30%    18         20-31        32-35         625        222      0.3812      0.3112  9.421000e-01
  10%    22         24-27        28-28         211         56      0.3812      0.2977  9.406000e-01
  25%    37         39-49        50-52         691        189      0.3812      0.2920  9.354000e-01
  12%    22         24-27        28-29         211        114      0.3813      0.2955  9.369000e-01
  30%    12         14-25        26-29         630        224      0.3814      0.2990  9.345000e-01
  25%    12         14-24        25-27         580        160      0.3818      0.2990  9.235000e-01
  12%    14         16-19        20-21         218         89      0.3819      0.3010  8.749000e-01
  60%    22         24-48        49-55        1464        428      0.3827      0.2865  9.425000e-01
  12%    44         46-49        50-51         258        129      0.3828      0.2916  9.331000e-01
  25%    19         21-31        32-34         580        169      0.3851      0.3130  9.386000e-01
   5%    45         47-48        49-49         129         65      0.3852      0.2945  9.363000e-01
  20%    22         24-31        32-34         442        169      0.3854      0.3090  9.386000e-01
  15%     3          5-10        11-12         318        119      0.3874      0.3068  9.275000e-01
  10%    17         19-22        23-23         180         48      0.3876      0.3095  8.790000e-01
  40%    31         33-49        50-54        1027        308      0.3880      0.2951  9.399000e-01
  20%    40         42-49        50-52         516        189      0.3883      0.2974  9.330000e-01
  12%    16         18-21        22-23         178         94      0.3886      0.3032  8.735000e-01
  15%     4          6-11        12-13         331        127      0.3892      0.3133  9.372000e-01
  20%    41         43-50        51-53         520        183      0.3900      0.2973  9.341000e-01
